monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17115a,17115a06,fly,0:00:03,na,na,air,sod
17115a,17115a07,rest,0:00:01,4662530.849,451789.902,grass,sod
17115b,17115b01,release,0:00:30,4662549.304,451798.98,vegetative wild bergamot,sod
17115b,17115b02,fly,0:01:00,na,na,air,sod
17115b,17115b03,fly,0:00:01,4662385.476,451818.833,air,sod
17115b,17115b04,fly,0:01:00,na,na,air,na
17115b,17115b05,fly,0:00:01,4662118.308,451758.901,air - lost signal,na
17123a,17123a01,release,0:02:00,4662550.86,451776.555,vegetative wild bergamot,sod
17123a,17123a02,fly,0:00:03,na,na,air,sod
17123a,17123a03,rest,0:03:00,4662551.198,451786.268,grass,sod
17123a,17123a04,fly,0:00:03,na,na,air,sod
17123a,17123a05,fly,0:00:01,4662489.449,451823.714,air,sod
17127a,17127a01,release,0:01:30,4662532.08,451810.629,vegetative wild bergamot,sod
17127a,17127a02,fly,0:00:03,na,na,air,sod
17127a,17127a03,fly,0:00:01,4662545.424,451774.089,air,sod
17127b,17127b01,release,0:01:30,4662532.08,451810.629,vegetative wild bergamot,sod
17127b,17127b02,fly,0:00:03,na,na,air,sod
17127b,17127b03,fly,0:00:01,4662536.747,451784.163,air,sod
17127c,17127c01,release,0:01:30,4662532.08,451810.629,vegetative wild bergamot,sod
17127c,17127c02,fly,0:00:03,na,na,air,sod
17127c,17127c03,fly,0:00:01,4662653.874,451806.391,air - cross edge,edge
17134a,17134a01,release,0:01:00,4662542.445,451812.722,vegetative wild bergamot,sod
17134a,17134a02,fly,0:00:03,na,na,air,sod
17134a,17134a03,rest,0:01:00,4662549.786,451813.591,grass,sod
17134a,17134a04,fly,0:00:05,na,na,air,sod
17134a,17134a05,rest,0:01:00,4662562.77,451819.288,grass,sod
17134a,17134a06,fly,0:00:03,na,na,air,sod
17134a,17134a07,rest,0:01:00,4662564.92,451818.448,grass,sod
17134a,17134a08,fly,0:00:03,na,na,air,sod
17134a,17134a09,rest,0:00:30,4662571.065,451817.331,grass,sod
17134a,17134a10,fly,0:02:00,na,na,air,na
17134a,17134a11,rest,0:45:00,4662142.723,451702.45,tree,riparian
17135a,17135a01,release,0:00:10,4662542.445,451812.722,vegetative wild bergamot,sod
17135a,17135a02,fly,0:00:03,na,na,air,sod
17135a,17135a03,rest,0:03:00,4662540.309,451807.45,grass,sod
17135b,17135b01,release,0:00:10,4662542.445,451812.722,vegetative wild bergamot,sod
17135b,17135b02,fly,0:00:03,na,na,air,sod
17135b,17135b03,rest,0:03:00,4662522.264,451813.768,grass,sod
17137a,17137a01,release,0:00:10,4662517.17,451811.049,vegetative wild bergamot,sod
17137a,17137a02,fly,0:00:03,na,na,air,sod
17137a,17137a03,rest,0:03:00,4662516.971,451809.071,grass,sod
17137a,17137a04,fly,0:00:03,na,na,air,sod
17137a,17137a05,rest,0:00:01,4662506.581,451800.756,grass,sod
17137b,17137b01,release,0:00:10,4662517.17,451811.049,vegetative wild bergamot,sod
17137b,17137b02,fly,0:00:03,na,na,air,sod
17137b,17137b03,rest,0:00:01,4662513.175,451808.918,grass,sod
17137c,17137c01,release,0:00:10,4662517.17,451811.049,vegetative wild bergamot,sod
17137c,17137c02,fly,0:00:03,na,na,air,sod
17137c,17137c03,rest,0:01:00,4662516.09,451809.322,grass,sod
17139a,17139a01,release,0:01:00,4662517.264,451811.042,vegetative wild bergamot,sod
17139a,17139a02,fly,0:00:03,na,na,air,sod
17139a,17139a03,rest,0:01:00,4662517.713,451811.416,grass,sod
17139a,17139a04,fly,0:00:03,na,na,air,sod
17139a,17139a05,rest,0:01:00,4662518.499,451815.095,grass,sod
17139a,17139a06,fly,0:00:03,na,na,air,sod
17139a,17139a07,rest,0:00:01,4662515.791,451821.131,bare ground,sod
17139b,17139b01,release,0:01:00,4662517.264,451811.042,vegetative wild bergamot,sod
17139b,17139b02,fly,0:00:03,na,na,air,sod
17139b,17139b03,rest,0:00:01,4662509.296,451799.294,grass,sod
17142a,17142a01,release,0:00:30,4662561.733,451812.786,vegetative wild bergamot,sod
17142a,17142a02,fly,0:00:03,na,na,air,sod
17142a,17142a03,rest,0:00:01,4662587.927,451847.397,grass,sod
17144a,17144a01,release,0:01:00,4662561.959,451812.801,vegetative wild bergamot,sod
17144a,17144a02,fly,0:00:03,na,na,air,sod
17144a,17144a03,rest,0:04:00,4662561.206,451813.585,grass,sod
17144a,17144a04,fly,0:00:03,na,na,air,sod
17144a,17144a05,rest,0:00:01,4662557.228,451813.902,grass,sod
17144b,17144b01,release,0:01:00,4662561.959,451812.801,vegetative wild bergamot,sod
17144b,17144b02,fly,0:00:30,na,na,air,sod
17144b,17144b03,rest,0:00:01,4662559.139,451811.77,grass,sod
17145a,17145a01,release,0:16:00,4662561.733,451812.786,vegetative wild bergamot,sod
17146a,17146a01,release,0:00:10,4662542.445,451812.722,vegetative wild bergamot,sod
17146a,17146a02,fly,0:00:05,na,na,air,sod
17146a,17146a03,rest,0:00:01,4662505.643,451782.511,grass,sod
17146b,17146b01,release,0:00:10,4662542.445,451812.722,vegetative wild bergamot,sod
17146b,17146b02,fly,0:00:05,na,na,air,sod
17146b,17146b03,grass,0:00:01,4662537.111,451833.736,grass,sod
17149a,17149a01,release,0:00:10,4662517.17,451811.049,vegetative wild bergamot,sod
17149a,17149a02,fly,0:00:03,na,na,air,sod
17149a,17149a03,rest,0:01:30,4662503.854,451807.348,grass,sod
17149a,17149a04,fly,0:00:03,na,na,air,sod
17149a,17149a05,fly,0:00:01,4662565.179,451737.654,air,sod
17150a,17150a01,release,0:00:10,4662542.397,451812.771,vegetative wild bergamot,sod
17150a,17150a02,fly,0:00:03,na,na,air,sod
17150a,17150a03,rest,0:00:10,4662544.671,451811.284,grass,sod
17150a,17150a04,fly,0:00:03,na,na,air,sod
17150a,17150a05,rest,0:00:10,4662540.664,451811.602,grass,sod
17150a,17150a06,fly,0:00:03,na,na,air,sod
17150a,17150a07,rest,0:00:10,4662538.22,451806.644,grass,sod
17150a,17150a08,fly,0:00:03,na,na,air,sod
17150a,17150a09,rest,0:00:01,4662546.428,451792.561,grass,sod
17151a,17151a01,release,0:00:10,4668649.344,613158.219,vegetative wild bergamot,sod
17151a,17151a02,fly,0:00:03,na,na,air,sod
