monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength,bearing
17115a,17115a01,57,1,release,7/24/2017,10:43,2017-07-20t11:00:57,0:02:00,4662549.3,451798.98,vegetative wild bergamot,sod,5.396044848,216.63629865200
17115a,17115a02,58,2,rest,7/24/2017,10:43,2017-07-20t11:00:58,0:00:15,4662544.97,451795.76,grass,sod,8.822000907,216.84391906000
17115a,17115a03,59,3,rest,7/24/2017,10:43,2017-07-20t11:00:59,0:00:15,4662537.91,451790.47,grass,sod,7.08297254,184.61585128600
17115a,17115a04,60,4,rest,7/24/2017,10:43,2017-07-20t11:01:00,0:00:01,4662530.85,451789.9,grass,sod,,
17115b,17115b01,61,1,release,7/24/2017,10:46,2017-07-20t11:01:01,0:00:30,4662549.3,451798.98,vegetative wild bergamot,sod,432.8496119,185.31295181200
17115b,17115b03,63,3,fly,7/24/2017,10:46,2017-07-20t11:01:03,0:00:01,4662118.31,451758.9,air  lost signal,na,,
17123a,17123a01,64,1,release,7/24/2017,12:10,2017-07-20t11:01:04,0:02:00,4662550.86,451776.56,vegetative wild bergamot,sod,9.715950803,87.99458194750
17123a,17123a02,65,2,rest,7/24/2017,12:10,2017-07-20t11:01:05,0:03:00,4662551.2,451786.27,grass,sod,72.21368361,148.77090523100
17123a,17123a03,66,3,fly,7/24/2017,12:10,2017-07-20t11:01:06,0:00:01,4662489.45,451823.71,air,sod,,
17127a,17127a01,67,1,release,7/25/2017,9:57,2017-07-20t11:01:07,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,38.89893572,290.05609473600
17127a,17127a02,68,2,fly,7/25/2017,9:57,2017-07-20t11:01:08,0:00:01,4662545.42,451774.09,air,sod,,
17127b,17127b01,69,1,release,7/25/2017,10:08,2017-07-20t11:01:09,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,26.87879834,280.00551015600
17127b,17127b02,70,2,fly,7/25/2017,10:08,2017-07-20t11:01:10,0:00:01,4662536.75,451784.16,air,sod,,
17127c,17127c01,71,1,release,7/25/2017,10:17,2017-07-20t11:01:11,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,121.8637834,358.00610863200
17127c,17127c02,72,2,fly,7/25/2017,10:17,2017-07-20t11:01:12,0:00:01,4662653.87,451806.39,air  cross edge,edge,,
17134a,17134a01,73,1,release,7/27/2017,11:31,2017-07-20t11:01:13,0:01:00,4662542.45,451812.72,vegetative wild bergamot,sod,7.391380115,6.75965133690
17134a,17134a02,74,2,rest,7/27/2017,11:31,2017-07-20t11:01:14,0:01:00,4662549.79,451813.59,grass,sod,14.17640293,23.70806160230
17134a,17134a03,75,3,rest,7/27/2017,11:31,2017-07-20t11:01:15,0:01:00,4662562.77,451819.29,grass,sod,2.308267749,338.65952811600
17134a,17134a04,76,4,rest,7/27/2017,11:31,2017-07-20t11:01:16,0:01:00,4662564.92,451818.45,grass,sod,6.251151894,349.67875754400
17134a,17134a05,77,5,rest,7/27/2017,11:31,2017-07-20t11:01:17,0:00:30,4662571.07,451817.33,grass,sod,443.487471,195.01297375300
17134a,17134a06,78,6,rest,7/27/2017,11:31,2017-07-20t11:01:18,0:45:00,4662142.72,451702.45,tree,riparian,,
17135a,17135a01,79,1,release,7/27/2017,10:06,2017-07-20t11:01:19,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,5.687925808,247.89930087900
17135a,17135a02,80,2,rest,7/27/2017,10:06,2017-07-20t11:01:20,0:03:00,4662540.31,451807.45,grass,sod,,
17135b,17135b01,81,1,release,7/27/2017,10:10,2017-07-20t11:01:21,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,20.21728468,177.02296091100
17135b,17135b02,82,2,rest,7/27/2017,10:10,2017-07-20t11:01:22,0:03:00,4662522.26,451813.77,grass,sod,,
17137a,17137a01,83,1,release,7/27/2017,10:21,2017-07-20t11:01:23,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,1.990075375,264.23211109700
17137a,17137a02,84,2,rest,7/27/2017,10:21,2017-07-20t11:01:24,0:03:00,4662516.97,451809.07,grass,sod,13.30444287,218.65308260900
17137a,17137a03,85,3,rest,7/27/2017,10:21,2017-07-20t11:01:25,0:00:01,4662506.58,451800.76,grass,sod,,
17137b,17137b01,86,1,release,7/27/2017,10:26,2017-07-20t11:01:26,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,4.522941521,208.09484190000
17137b,17137b02,87,2,rest,7/27/2017,10:26,2017-07-20t11:01:27,0:00:01,4662513.18,451808.92,grass,sod,,
17137c,17137c01,88,1,release,7/27/2017,10:42,2017-07-20t11:01:28,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,2.039436197,238.02439629800
17137c,17137c02,89,2,rest,7/27/2017,10:42,2017-07-20t11:01:29,0:01:00,4662516.09,451809.32,grass,sod,,
17139a,17139a01,90,1,release,7/28/2017,10:37,2017-07-20t11:01:30,0:01:00,4662517.26,451811.04,vegetative wild bergamot,sod,0.588982173,40.17923391060
17139a,17139a02,91,2,rest,7/28/2017,10:37,2017-07-20t11:01:31,0:01:00,4662517.71,451811.42,grass,sod,3.763841123,77.88397894880
17139a,17139a03,92,3,rest,7/28/2017,10:37,2017-07-20t11:01:32,0:01:00,4662518.5,451815.1,grass,sod,6.610975722,114.20008338100
17139a,17139a04,93,4,rest,7/28/2017,10:37,2017-07-20t11:01:33,0:00:01,4662515.79,451821.13,bare ground,sod,,
17139b,17139b01,94,1,release,7/28/2017,10:41,2017-07-20t11:01:34,0:01:00,4662517.26,451811.04,vegetative wild bergamot,sod,14.19239585,235.88444887100
17139b,17139b02,95,2,rest,7/28/2017,10:41,2017-07-20t11:01:35,0:00:01,4662509.3,451799.29,grass,sod,,
17142a,17142a01,96,1,release,7/28/2017,10:26,2017-07-20t11:01:36,0:00:30,4662561.73,451812.79,vegetative wild bergamot,sod,43.40843351,52.87403648650
17142a,17142a02,97,2,rest,7/28/2017,10:26,2017-07-20t11:01:37,0:00:01,4662587.93,451847.4,grass,sod,,
