monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength,bearing
18208a,18208a01,612,1,release,7/31/2018,12:39,2017-07-20t11:10:12,0:00:03,4622515.48,433995.11,vegetative blazing star,sod,1.158015544,306.57303095800
18208a,18208a02,613,2,rest,7/31/2018,12:39,2017-07-20t11:10:13,0:00:15,4622516.17,433994.18,grass,sod,52.0229507,7.56625930738
18208a,18208a03,614,3,rest,7/31/2018,12:39,2017-07-20t11:10:14,0:00:45,4622567.74,434001.03,grass,sod,204.850733,188.90777523800
18208a,18208a05,616,5,fly,7/31/2018,12:39,2017-07-20t11:10:16,0:00:01,4622365.36,433969.31,air,sod,,
18209a,18209a01,617,1,release,7/31/2018,13:04,2017-07-20t11:10:17,0:01:00,4622515.48,433995.11,vegetative blazing star,sod,147.5243712,188.76889891600
18209a,18209a02,618,2,fly,7/31/2018,13:04,2017-07-20t11:10:18,0:00:01,4622369.68,433972.62,air  cross edge,sod,,
18210a,18210a01,619,1,release,7/31/2018,13:14,2017-07-20t11:10:19,0:00:03,4622515.48,433995.11,vegetative blazing star,sod,9.234554673,268.20039959300
18210a,18210a02,620,2,rest,7/31/2018,13:14,2017-07-20t11:10:20,0:05:00,4622515.19,433985.88,grass,sod,145.2707834,269.30188275500
18210a,18210a04,622,4,fly,7/31/2018,13:14,2017-07-20t11:10:22,0:00:01,4622513.42,433840.62,air  lost,sod,,
18211a,18211a01,623,1,release,7/31/2018,13:36,2017-07-20t11:10:23,0:00:03,4622515.48,433995.11,vegetative blazing star,sod,7.440436816,222.22188919800
18211a,18211a02,624,2,rest,7/31/2018,13:36,2017-07-20t11:10:24,0:05:00,4622509.97,433990.11,grass,sod,147.1657192,208.80994090400
18211a,18211a03,625,3,rest,7/31/2018,13:36,2017-07-20t11:10:25,0:00:01,4622381.02,433919.19,vegetation,edge,,
18212a,18212a01,626,1,release,7/31/2018,13:49,2017-07-20t11:10:26,0:01:00,4622515.48,433995.11,vegetative blazing star,sod,85.92113419,134.78781184400
18212a,18212a03,628,3,rest,7/31/2018,13:49,2017-07-20t11:10:28,0:00:01,4622454.95,434056.09,grass,sod,24.98913764,158.37315540200
18212a,18212a04,629,4,rest,7/31/2018,13:49,2017-07-20t11:10:29,0:10:00,4622431.72,434065.3,grass,sod,,
